scientific_name,common_name
treron phayrei,ashy-headed green-pigeon
treron axillaris,philippine green-pigeon
treron aromaticus,buru green-pigeon
treron curvirostra,thick-billed green-pigeon
treron griseicauda,gray-cheeked green-pigeon
treron teysmannii,sumba green-pigeon
treron floris,flores green-pigeon
treron psittaceus,timor green-pigeon
treron capellei,large green-pigeon
treron phoenicopterus,yellow-footed green-pigeon
treron waalia,bruce's green-pigeon
treron griveaudi,comoros green-pigeon
treron australis,madagascar green-pigeon
treron pembaensis,pemba green-pigeon
treron sanctithomae,sao tome green-pigeon
treron seimundi,yellow-vented green-pigeon
treron apicauda,pin-tailed green-pigeon
treron calvus,african green-pigeon
treron oxyurus,sumatran green-pigeon
treron sieboldii,white-bellied green-pigeon
treron formosae,whistling green-pigeon
ptilinopus cinctus,black-backed fruit-dove
ptilinopus alligator,black-banded fruit-dove
ptilinopus dohertyi,red-naped fruit-dove
ptilinopus porphyreus,pink-headed fruit-dove
ptilinopus occipitalis,yellow-breasted fruit-dove
ptilinopus marchei,flame-breasted fruit-dove
ptilinopus merrilli,cream-breasted fruit-dove
ptilinopus fischeri,red-eared fruit-dove
ptilinopus jambu,jambu fruit-dove
ptilinopus epius,maroon-chinned fruit-dove
ptilinopus subgularis,banggai fruit-dove
ptilinopus mangoliensis,sula fruit-dove
ptilinopus leclancheri,black-chinned fruit-dove
ptilinopus bernsteinii,scarlet-breasted fruit-dove
ptilinopus magnificus,wompoo fruit-dove
ptilinopus perlatus,pink-spotted fruit-dove
ptilinopus ornatus,ornate fruit-dove
ptilinopus tannensis,tanna fruit-dove
ptilinopus aurantiifrons,orange-fronted fruit-dove
ptilinopus wallacii,wallace's fruit-dove
ptilinopus superbus,superb fruit-dove
ptilinopus perousii,many-colored fruit-dove
ptilinopus ponapensis,purple-capped fruit-dove
ptilinopus hernsheimi,kosrae fruit-dove
ptilinopus porphyraceus,crimson-crowned fruit-dove
ptilinopus pelewensis,palau fruit-dove
ptilinopus rarotongensis,cook islands fruit-dove
ptilinopus roseicapilla,mariana fruit-dove
ptilinopus regina,rose-crowned fruit-dove
ptilinopus richardsii,silver-capped fruit-dove
ptilinopus chrysogaster,raiatea fruit-dove
ptilinopus purpuratus,gray-green fruit-dove
ptilinopus chalcurus,makatea fruit-dove
ptilinopus coralensis,atoll fruit-dove
ptilinopus greyi,red-bellied fruit-dove
ptilinopus huttoni,rapa fruit-dove
ptilinopus dupetithouarsii,white-capped fruit-dove
ptilinopus mercierii,red-moustached fruit-dove
ptilinopus insularis,henderson island fruit-dove
ptilinopus coronulatus,coroneted fruit-dove
ptilinopus pulchellus,beautiful fruit-dove
ptilinopus monacha,blue-capped fruit-dove
ptilinopus rivoli,white-breasted fruit-dove
ptilinopus solomonensis,yellow-bibbed fruit-dove
ptilinopus viridis,claret-breasted fruit-dove
ptilinopus eugeniae,white-headed fruit-dove
ptilinopus iozonus,orange-bellied fruit-dove
ptilinopus insolitus,knob-billed fruit-dove
ptilinopus hyogastrus,gray-headed fruit-dove
ptilinopus granulifrons,carunculated fruit-dove
ptilinopus melanospilus,black-naped fruit-dove
ptilinopus nainus,dwarf fruit-dove
ptilinopus arcanus,negros fruit-dove
ptilinopus victor,orange dove
ptilinopus luteovirens,golden dove
ptilinopus layardi,velvet dove
drepanoptila holosericea,cloven-feathered dove
alectroenas nitidissimus,mauritius blue-pigeon
alectroenas payandeei,rodrigues blue-pigeon
alectroenas madagascariensis,madagascar blue-pigeon
alectroenas sganzini,comoro blue-pigeon
alectroenas pulcherrimus,seychelles blue-pigeon
ducula poliocephala,pink-bellied imperial-pigeon
ducula forsteni,white-bellied imperial-pigeon
ducula mindorensis,mindoro imperial-pigeon
ducula radiata,gray-headed imperial-pigeon
ducula carola,spotted imperial-pigeon
ducula aenea,green imperial-pigeon
ducula oenothorax,enggano imperial-pigeon
ducula nicobarica,nicobar imperial-pigeon
ducula perspicillata,spectacled imperial-pigeon
ducula neglecta,seram imperial-pigeon
ducula concinna,elegant imperial-pigeon
ducula pacifica,pacific imperial-pigeon
ducula rubricera,red-knobbed imperial-pigeon
ducula oceanica,micronesian imperial-pigeon
ducula aurorae,polynesian imperial-pigeon
ducula galeata,marquesas imperial-pigeon
ducula myristicivora,spice imperial-pigeon
ducula geelvinkiana,geelvink imperial-pigeon
ducula rufigaster,purple-tailed imperial-pigeon
ducula basilica,cinnamon-bellied imperial-pigeon
ducula finschii,finsch's imperial-pigeon
ducula chalconota,rufescent imperial-pigeon
ducula pistrinaria,island imperial-pigeon
ducula rosacea,pink-headed imperial-pigeon
ducula whartoni,christmas island imperial-pigeon
ducula pickeringii,gray imperial-pigeon
ducula latrans,peale's imperial-pigeon
ducula brenchleyi,chestnut-bellied imperial-pigeon
ducula bakeri,baker's imperial-pigeon
ducula goliath,new caledonian imperial-pigeon
ducula pinon,pinon's imperial-pigeon
ducula melanochroa,bismarck imperial-pigeon
ducula mullerii,collared imperial-pigeon
ducula zoeae,zoe's imperial-pigeon
ducula cuprea,malabar imperial-pigeon
ducula badia,mountain imperial-pigeon
ducula lacernulata,dark-backed imperial-pigeon
ducula cineracea,timor imperial-pigeon
ducula bicolor,pied imperial-pigeon
ducula subflavescens,yellowish imperial-pigeon
ducula luctuosa,silver-tipped imperial-pigeon
lopholaimus antarcticus,topknot pigeon
hemiphaga novaeseelandiae,new zealand pigeon
hemiphaga chathamensis,chatham island pigeon
cryptophaps poecilorrhoa,sombre pigeon
gymnophaps albertisii,papuan mountain-pigeon
gymnophaps mada,buru mountain-pigeon
gymnophaps stalkeri,seram mountain-pigeon
gymnophaps solomonensis,pale mountain-pigeon
mesitornis variegatus,white-breasted mesite
mesitornis unicolor,brown mesite
monias benschi,subdesert mesite
syrrhaptes tibetanus,tibetan sandgrouse
syrrhaptes paradoxus,pallas's sandgrouse
pterocles alchata,pin-tailed sandgrouse
pterocles namaqua,namaqua sandgrouse
pterocles exustus,chestnut-bellied sandgrouse
pterocles senegallus,spotted sandgrouse
pterocles orientalis,black-bellied sandgrouse
pterocles gutturalis,yellow-throated sandgrouse
pterocles coronatus,crowned sandgrouse
pterocles decoratus,black-faced sandgrouse
pterocles personatus,madagascar sandgrouse
pterocles lichtensteinii,lichtenstein's sandgrouse
pterocles bicinctus,double-banded sandgrouse
pterocles quadricinctus,four-banded sandgrouse
pterocles indicus,painted sandgrouse
pterocles burchelli,burchell's sandgrouse
otis tarda,great bustard
ardeotis arabs,arabian bustard
ardeotis kori,kori bustard
ardeotis nigriceps,great indian bustard
ardeotis australis,australian bustard
chlamydotis undulata,houbara bustard
chlamydotis macqueenii,macqueen's bustard
neotis ludwigii,ludwig's bustard
neotis denhami,denham's bustard
neotis heuglinii,heuglin's bustard
neotis nuba,nubian bustard
eupodotis senegalensis,white-bellied bustard
eupodotis caerulescens,blue bustard
eupodotis vigorsii,karoo bustard
eupodotis rueppelii,rã¼ppell's bustard
eupodotis humilis,little brown bustard
eupodotis savilei,savile's bustard
eupodotis gindiana,buff-crested bustard
eupodotis ruficrista,red-crested bustard
eupodotis afra,black bustard
eupodotis afraoides,white-quilled bustard
lissotis melanogaster,black-bellied bustard
lissotis hartlaubii,hartlaub's bustard
houbaropsis bengalensis,bengal florican
sypheotides indicus,lesser florican
tetrax tetrax,little bustard
corythaeola cristata,great blue turaco
tauraco persa,guinea turaco
tauraco livingstonii,livingstone's turaco
tauraco schalowi,schalow's turaco
tauraco corythaix,knysna turaco
tauraco schuettii,black-billed turaco
tauraco leucolophus,white-crested turaco
tauraco fischeri,fischer's turaco
tauraco macrorhynchus,yellow-billed turaco
tauraco bannermani,bannerman's turaco
tauraco erythrolophus,red-crested turaco
tauraco hartlaubi,hartlaub's turaco
tauraco leucotis,white-cheeked turaco
tauraco ruspolii,prince ruspoli's turaco
tauraco porphyreolophus,purple-crested turaco
ruwenzorornis johnstoni,rwenzori turaco
musophaga violacea,violet turaco
musophaga rossae,ross's turaco
corythaixoides personatus,bare-faced go-away-bird
corythaixoides concolor,gray go-away-bird
corythaixoides leucogaster,white-bellied go-away-bird
crinifer piscator,western plantain-eater
crinifer zonurus,eastern plantain-eater
guira guira,guira cuckoo
crotophaga major,greater ani
crotophaga ani,smooth-billed ani
crotophaga sulcirostris,groove-billed ani
tapera naevia,striped cuckoo
dromococcyx phasianellus,pheasant cuckoo
dromococcyx pavoninus,pavonine cuckoo
morococcyx erythropygus,lesser ground-cuckoo
geococcyx velox,lesser roadrunner
geococcyx californianus,greater roadrunner
neomorphus geoffroyi,rufous-vented ground-cuckoo
neomorphus squamiger,scaled ground-cuckoo
neomorphus radiolosus,banded ground-cuckoo
neomorphus rufipennis,rufous-winged ground-cuckoo
neomorphus pucheranii,red-billed ground-cuckoo
carpococcyx viridis,sumatran ground-cuckoo
carpococcyx radiceus,bornean ground-cuckoo
carpococcyx renauldi,coral-billed ground-cuckoo
coua cristata,crested coua
coua verreauxi,verreaux's coua
coua caerulea,blue coua
coua ruficeps,red-capped coua
coua reynaudii,red-fronted coua
coua coquereli,coquerel's coua
coua cursor,running coua
coua gigas,giant coua
coua delalandei,snail-eating coua
coua serriana,red-breasted coua
centropus milo,buff-headed coucal
centropus ateralbus,pied coucal
centropus chalybeus,biak coucal
centropus menbeki,greater black coucal
centropus unirufus,rufous coucal
centropus chlororhynchos,green-billed coucal
centropus melanops,black-faced coucal
centropus rectunguis,short-toed coucal
centropus steerii,black-hooded coucal
centropus celebensis,bay coucal
centropus anselli,gabon coucal
centropus leucogaster,black-throated coucal
centropus senegalensis,senegal coucal
centropus monachus,blue-headed coucal
centropus cupreicaudus,coppery-tailed coucal
centropus superciliosus,white-browed coucal
centropus nigrorufus,sunda coucal
centropus andamanensis,andaman coucal
centropus sinensis,greater coucal
centropus goliath,goliath coucal
centropus toulou,malagasy coucal
centropus grillii,black coucal
centropus viridis,philippine coucal
centropus bengalensis,lesser coucal
centropus violaceus,violaceous coucal
centropus bernsteini,lesser black coucal
centropus phasianinus,pheasant coucal
rhinortha chlorophaea,raffles's malkoha
ceuthmochares aereus,blue malkoha
ceuthmochares australis,green malkoha
taccocua leschenaultii,sirkeer malkoha
zanclostomus javanicus,red-billed malkoha
phaenicophaeus curvirostris,chestnut-breasted malkoha
phaenicophaeus sumatranus,chestnut-bellied malkoha
phaenicophaeus pyrrhocephalus,red-faced malkoha
phaenicophaeus viridirostris,blue-faced malkoha
phaenicophaeus diardi,black-bellied malkoha
phaenicophaeus tristis,green-billed malkoha
rhamphococcyx calyorhynchus,yellow-billed malkoha
dasylophus superciliosus,red-crested malkoha
dasylophus cumingi,scale-feathered malkoha
clamator coromandus,chestnut-winged cuckoo
clamator glandarius,great spotted cuckoo
clamator levaillantii,levaillant's cuckoo
clamator jacobinus,pied cuckoo
coccycua minuta,little cuckoo
coccycua pumila,dwarf cuckoo
coccycua cinerea,ash-colored cuckoo
piaya cayana,squirrel cuckoo
piaya melanogaster,black-bellied cuckoo
coccyzus melacoryphus,dark-billed cuckoo
coccyzus americanus,yellow-billed cuckoo
coccyzus euleri,pearly-breasted cuckoo
coccyzus minor,mangrove cuckoo
coccyzus ferrugineus,cocos cuckoo
coccyzus erythropthalmus,black-billed cuckoo
coccyzus lansbergi,gray-capped cuckoo
coccyzus pluvialis,chestnut-bellied cuckoo
coccyzus rufigularis,bay-breasted cuckoo
coccyzus vetula,jamaican lizard-cuckoo
coccyzus vieilloti,puerto rican lizard-cuckoo
coccyzus merlini,great lizard-cuckoo
coccyzus longirostris,hispaniolan lizard-cuckoo
nannococcyx psix,st. helena cuckoo
pachycoccyx audeberti,thick-billed cuckoo
microdynamis parva,dwarf koel
eudynamys scolopaceus,asian koel
eudynamys melanorhynchus,black-billed koel
eudynamys orientalis,pacific koel
urodynamis taitensis,long-tailed koel
scythrops novaehollandiae,channel-billed cuckoo
chrysococcyx maculatus,asian emerald cuckoo
chrysococcyx xanthorhynchus,violet cuckoo
chrysococcyx caprius,dideric cuckoo
chrysococcyx klaas,klaas's cuckoo
chrysococcyx flavigularis,yellow-throated cuckoo
chrysococcyx cupreus,african emerald cuckoo
chrysococcyx megarhynchus,long-billed cuckoo
chrysococcyx basalis,horsfield's bronze-cuckoo
chrysococcyx osculans,black-eared cuckoo
chrysococcyx ruficollis,rufous-throated bronze-cuckoo
chrysococcyx lucidus,shining bronze-cuckoo
chrysococcyx meyerii,white-eared bronze-cuckoo
chrysococcyx minutillus,little bronze-cuckoo
cacomantis pallidus,pallid cuckoo
cacomantis leucolophus,white-crowned koel
cacomantis castaneiventris,chestnut-breasted cuckoo
cacomantis flabelliformis,fan-tailed cuckoo
cacomantis sonneratii,banded bay cuckoo
cacomantis merulinus,plaintive cuckoo
cacomantis passerinus,gray-bellied cuckoo
cacomantis aeruginosus,moluccan cuckoo
cacomantis variolosus,brush cuckoo
cercococcyx mechowi,dusky long-tailed cuckoo
cercococcyx olivinus,olive long-tailed cuckoo
cercococcyx montanus,barred long-tailed cuckoo
surniculus dicruroides,fork-tailed drongo-cuckoo
surniculus velutinus,philippine drongo-cuckoo
surniculus lugubris,square-tailed drongo-cuckoo
surniculus musschenbroeki,moluccan drongo-cuckoo
hierococcyx vagans,moustached hawk-cuckoo
hierococcyx bocki,dark hawk-cuckoo
hierococcyx varius,common hawk-cuckoo
hierococcyx hyperythrus,northern hawk-cuckoo
hierococcyx pectoralis,philippine hawk-cuckoo
hierococcyx nisicolor,hodgson's hawk-cuckoo
hierococcyx fugax,malaysian hawk-cuckoo
cuculus clamosus,black cuckoo
cuculus solitarius,red-chested cuckoo
cuculus poliocephalus,lesser cuckoo
cuculus crassirostris,sulawesi cuckoo
cuculus micropterus,indian cuckoo
cuculus gularis,african cuckoo
cuculus rochii,madagascar cuckoo
cuculus saturatus,himalayan cuckoo
cuculus lepidus,sunda cuckoo
cuculus canorus,common cuckoo
cuculus optatus,oriental cuckoo
podargus strigoides,tawny frogmouth
podargus ocellatus,marbled frogmouth
podargus papuensis,papuan frogmouth
rigidipenna inexpectata,solomons frogmouth
batrachostomus auritus,large frogmouth
batrachostomus harterti,dulit frogmouth
batrachostomus septimus,philippine frogmouth
batrachostomus stellatus,gould's frogmouth
batrachostomus moniliger,sri lanka frogmouth
batrachostomus hodgsoni,hodgson's frogmouth
batrachostomus poliolophus,sumatran frogmouth
batrachostomus mixtus,bornean frogmouth
batrachostomus javensis,javan frogmouth
batrachostomus affinis,blyth's frogmouth
batrachostomus chaseni,palawan frogmouth
batrachostomus cornutus,sunda frogmouth
eurostopodus argus,spotted nightjar
eurostopodus nigripennis,solomons nightjar
eurostopodus exul,new caledonian nightjar
eurostopodus mystacalis,white-throated nightjar
eurostopodus diabolicus,diabolical nightjar
eurostopodus papuensis,papuan nightjar
eurostopodus archboldi,archbold's nightjar
lyncornis temminckii,malaysian eared-nightjar
lyncornis macrotis,great eared-nightjar
gactornis enarratus,collared nightjar
chordeiles nacunda,nacunda nighthawk
chordeiles pusillus,least nighthawk
chordeiles rupestris,sand-colored nighthawk
chordeiles acutipennis,lesser nighthawk
chordeiles minor,common nighthawk
chordeiles gundlachii,antillean nighthawk
lurocalis semitorquatus,short-tailed nighthawk
lurocalis rufiventris,rufous-bellied nighthawk
